pEtaBin,jEtaBin,pPtBin,N_WP0,N_WP0error,N_WPc,N_WPcerror,N_WPb,N_WPberror
0,0,0,7178.674377362004,21.67836512372609,1783.125397787557,10.805385667432954,922.3100691099536,7.755384020393514
0,1,0,1945.5507421598636,11.35228876300801,625.307809097326,6.425100231074172,322.5060038151991,4.55586442387615
1,0,0,1850.2783913357134,10.755091041561839,420.85402106718624,5.155501367845395,208.61907070988465,3.572383826113973
1,1,0,1010.2774757047538,8.2766611757335,320.37579192317963,4.678204963369901,151.23738200465073,3.213956691547771
