pEtaBin,jEtaBin,pPtBin,pPtL,pPtR,xs_c,xs_c_error,xs_b,xs_b_error,frac_c_b,yield_c,error_c,yield_b,error_b
0,0,0,210.0,230.0,-127.075989337342,8.146620025558402,11.171306049585818,0.3818825613223593,-11.375213316445969,-22022.777256118716,1411.8418369093733,1936.0320236174205,66.18177540741016
0,1,0,210.0,230.0,-121.1365797943543,45.10404877533893,8.572792793135823,1.6040956204280095,-14.130352000499482,-13995.635883120516,5211.141379307558,990.4661881477402,185.33079160177047
1,0,0,210.0,230.0,-62.5347035789932,12.22899631615381,4.784356623417702,0.5722837744721292,-13.070661010700658,-7008.889577133557,1370.625907114519,536.230690352656,64.14156544283624
1,1,0,210.0,230.0,-112.47355479773407,68.56853324862492,9.578475838225424,3.7140778938748396,-11.74232275545122,-8404.02401448669,5123.440804337253,715.7037146322036,277.515900230328
