pEtaBin,jEtaBin,pPtBin,pPtL,pPtR,xs_c,xs_c_error,xs_b,xs_b_error,frac_c_b,yield_c,error_c,yield_b,error_b
0,0,0,210.0,230.0,4.927022818632524,0.18181354643907774,5.417414584012781,0.13674406135451642,0.9094786345450757,853.8727625602909,31.509014852077925,938.859617067751,23.698292808983112
0,1,0,210.0,230.0,1.7486478904541505,0.26818649459765875,3.0415615423159714,0.1718064330625565,0.5749178065694035,202.03178267151068,30.9851948398351,351.40985435301803,19.849828050315523
1,0,0,210.0,230.0,1.2153969967549074,0.16801157023500507,2.053907081464213,0.15869055053275602,0.591748773702295,136.22169539629002,18.830736791939366,230.20190569050894,17.78603690371129
1,1,0,210.0,230.0,0.6525853897540188,0.37444189317181403,2.4650637650127982,0.24164590916734993,0.2647336750538909,48.76118032242029,27.978298257797945,184.18956452175627,18.055782332984386
