pEtaBin,jEtaBin,pPtBin,pPtL,pPtR,xs_c,xs_c_error,xs_b,xs_b_error,frac_c_b,yield_c,error_c,yield_b,error_b
0,0,0,210.0,230.0,-62.22867258741255,2.24123513077701,28.854466175432,0.843976992309038,-2.1566391909338756,-10784.477874088943,388.41501310417897,5000.594406067067,146.2645886751255
0,1,0,210.0,230.0,-36.30768493351836,4.25414422417017,15.912093228150704,1.4905736377187295,-2.2817667300544104,-4194.844686478977,491.50680708372465,1838.4196032076195,172.2149158074711
1,0,0,210.0,230.0,-28.317369433565432,3.03768953659932,12.784388583492321,1.1155072334769098,-2.214995988946227,-3173.8107661140134,340.46424326205175,1432.8742724378192,125.02605072809203
1,1,0,210.0,230.0,-36.27199117933525,7.649878390662891,15.481108099069738,2.7508275676986784,-2.34298416800764,-2710.24318091993,571.5989133503311,1156.7483971624908,205.54183585844524
