pEtaBin,jEtaBin,pPtBin,pPtL,pPtR,xs_c,xs_c_error,xs_b,xs_b_error,frac_c_b,yield_c,error_c,yield_b,error_b
0,0,0,210.0,230.0,4.854943597970422,0.19030846700029874,7.116744492424555,0.17785251285454148,0.6821860196243219,841.381145302666,32.98121856501977,1233.360287515145,30.822551887743455
0,1,0,210.0,230.0,1.7638227841165355,0.3163000639833882,4.353310006247947,0.2438884873483219,0.40516820111250207,203.78502918568802,36.54404419238474,502.96402488186266,28.177900274275714
1,0,0,210.0,230.0,1.1935363998650814,0.1805649757639597,2.5685055928847156,0.20323030448597734,0.4646812540223469,133.7715596968783,20.2377224836246,287.8781068505189,22.77805252678834
1,1,0,210.0,230.0,0.6090034349291743,0.46344393487053237,3.5422017533524537,0.3593516794799306,0.17192793559903635,45.504736657907905,34.628530813526176,264.67331501049534,26.85075749074041
