pEtaBin,jEtaBin,pPtBin,pPtL,pPtR,xs_c,xs_c_error,xs_b,xs_b_error,frac_c_b,yield_c,error_c,yield_b,error_b
0,0,0,210.0,230.0,5.0908894143252965,0.1739428103344854,1.5541179987769231,0.10196114742771008,3.2757418795302424,882.2714990602311,30.144984802207652,269.33486566003586,17.670274693811866
0,1,0,210.0,230.0,1.7196523036299232,0.22135378055081195,0.5351244414242623,0.11271172256165801,3.21355589562117,198.68174855218678,25.574330389718604,61.826137464393554,13.022261577883718
1,0,0,210.0,230.0,1.278235429397394,0.14798817828387031,0.5746902027673574,0.09072213752955867,2.2242164965440367,143.2646269268599,16.586515022056183,64.41127792616541,10.168137174312935
1,1,0,210.0,230.0,0.7380326261789851,0.2771149029233442,0.35321575998691024,0.1356316721323266,2.089466863557662,55.14579782809377,20.706025546432276,26.39228158622193,10.134398541727442
