pEtaBin,jEtaBin,pPtBin,pPtL,pPtR,xs_c,xs_c_error,xs_b,xs_b_error,frac_c_b,yield_c,error_c,yield_b,error_b
0,0,0,210.0,230.0,-98.51572486925835,4.9422191548239685,18.959380485621562,0.7145649489594377,-5.196146833171623,-17073.16918274195,856.506348407613,3285.736475680159,123.83696391446638
0,1,0,210.0,230.0,-68.79756710217427,14.178250060212243,13.101105218402525,1.9754456182074551,-5.251279640555628,-7948.595712716806,1638.0982989566814,1513.6492925133539,228.2350849452165
1,0,0,210.0,230.0,-47.83537371132654,7.297285277805503,8.221068210393454,0.9984962780276347,-5.818632382936667,-5361.388685565478,817.8797339364406,921.4173250208983,111.9114628413373
1,1,0,210.0,230.0,-73.51505215177161,28.401534936051917,12.596231690373367,3.7977264522520957,-5.836273415640273,-5493.044696780375,2122.162690421799,941.1904319046979,283.7661205122766
